Statistic Label,Area of Residence,ICD 10 Diagnostic Group,Year,UNIT,VALUE
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kerry,Diseases of the circulatory system,2007,No. per 1000 Pop.,2.53
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kerry,Diseases of the circulatory system,2008,No. per 1000 Pop.,2.96
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kerry,Diseases of the circulatory system,2009,No. per 1000 Pop.,2.42
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kerry,Diseases of the circulatory system,2010,No. per 1000 Pop.,2.33
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kerry,Diseases of the circulatory system,2011,No. per 1000 Pop.,2.32
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kerry,Diseases of the circulatory system,2012,No. per 1000 Pop.,2.2
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kerry,Diseases of the circulatory system,2013,No. per 1000 Pop.,2.32
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kerry,Diseases of the circulatory system,2014,No. per 1000 Pop.,2.3
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kerry,Diseases of the circulatory system,2015,No. per 1000 Pop.,2.11
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kerry,Diseases of the circulatory system,2016,No. per 1000 Pop.,2.18
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kerry,Diseases of the circulatory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kerry,Diseases of the respiratory system,2007,No. per 1000 Pop.,0.74
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kerry,Diseases of the respiratory system,2008,No. per 1000 Pop.,1.03
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kerry,Diseases of the respiratory system,2009,No. per 1000 Pop.,0.75
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kerry,Diseases of the respiratory system,2010,No. per 1000 Pop.,0.78
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kerry,Diseases of the respiratory system,2011,No. per 1000 Pop.,0.83
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kerry,Diseases of the respiratory system,2012,No. per 1000 Pop.,0.78
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kerry,Diseases of the respiratory system,2013,No. per 1000 Pop.,0.78
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kerry,Diseases of the respiratory system,2014,No. per 1000 Pop.,0.74
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kerry,Diseases of the respiratory system,2015,No. per 1000 Pop.,0.87
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kerry,Diseases of the respiratory system,2016,No. per 1000 Pop.,0.91
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kerry,Diseases of the respiratory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kerry,External causes of injury and poisoning,2007,No. per 1000 Pop.,0.39
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kerry,External causes of injury and poisoning,2008,No. per 1000 Pop.,0.41
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kerry,External causes of injury and poisoning,2009,No. per 1000 Pop.,0.43
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kerry,External causes of injury and poisoning,2010,No. per 1000 Pop.,0.42
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kerry,External causes of injury and poisoning,2011,No. per 1000 Pop.,0.49
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kerry,External causes of injury and poisoning,2012,No. per 1000 Pop.,0.44
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kerry,External causes of injury and poisoning,2013,No. per 1000 Pop.,0.37
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kerry,External causes of injury and poisoning,2014,No. per 1000 Pop.,0.4
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kerry,External causes of injury and poisoning,2015,No. per 1000 Pop.,0.34
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kerry,External causes of injury and poisoning,2016,No. per 1000 Pop.,0.36
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kerry,External causes of injury and poisoning,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,Neoplasms,2007,No. per 1000 Pop.,2.11
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,Neoplasms,2008,No. per 1000 Pop.,2.31
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,Neoplasms,2009,No. per 1000 Pop.,2.12
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,Neoplasms,2010,No. per 1000 Pop.,2.07
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,Neoplasms,2011,No. per 1000 Pop.,2.5
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,Neoplasms,2012,No. per 1000 Pop.,2.38
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,Neoplasms,2013,No. per 1000 Pop.,2.24
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,Neoplasms,2014,No. per 1000 Pop.,2.47
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,Neoplasms,2015,No. per 1000 Pop.,2.4
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,Neoplasms,2016,No. per 1000 Pop.,2.05
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,Neoplasms,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,Diseases of the circulatory system,2007,No. per 1000 Pop.,2.74
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,Diseases of the circulatory system,2008,No. per 1000 Pop.,2.73
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,Diseases of the circulatory system,2009,No. per 1000 Pop.,2.63
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,Diseases of the circulatory system,2010,No. per 1000 Pop.,2.67
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,Diseases of the circulatory system,2011,No. per 1000 Pop.,2.67
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,Diseases of the circulatory system,2012,No. per 1000 Pop.,2.8
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,Diseases of the circulatory system,2013,No. per 1000 Pop.,2.75
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,Diseases of the circulatory system,2014,No. per 1000 Pop.,2.57
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,Diseases of the circulatory system,2015,No. per 1000 Pop.,2.46
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,Diseases of the circulatory system,2016,No. per 1000 Pop.,2.5
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,Diseases of the circulatory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,Diseases of the respiratory system,2007,No. per 1000 Pop.,1.05
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,Diseases of the respiratory system,2008,No. per 1000 Pop.,1.01
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,Diseases of the respiratory system,2009,No. per 1000 Pop.,1.03
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,Diseases of the respiratory system,2010,No. per 1000 Pop.,0.9
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,Diseases of the respiratory system,2011,No. per 1000 Pop.,0.98
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,Diseases of the respiratory system,2012,No. per 1000 Pop.,1.08
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,Diseases of the respiratory system,2013,No. per 1000 Pop.,0.99
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,Diseases of the respiratory system,2014,No. per 1000 Pop.,1.02
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,Diseases of the respiratory system,2015,No. per 1000 Pop.,1.48
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,Diseases of the respiratory system,2016,No. per 1000 Pop.,1.38
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,Diseases of the respiratory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,External causes of injury and poisoning,2007,No. per 1000 Pop.,0.52
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,External causes of injury and poisoning,2008,No. per 1000 Pop.,0.56
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,External causes of injury and poisoning,2009,No. per 1000 Pop.,0.67
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,External causes of injury and poisoning,2010,No. per 1000 Pop.,0.58
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,External causes of injury and poisoning,2011,No. per 1000 Pop.,0.58
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,External causes of injury and poisoning,2012,No. per 1000 Pop.,0.53
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,External causes of injury and poisoning,2013,No. per 1000 Pop.,0.6
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,External causes of injury and poisoning,2014,No. per 1000 Pop.,0.71
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,External causes of injury and poisoning,2015,No. per 1000 Pop.,0.28
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,External causes of injury and poisoning,2016,No. per 1000 Pop.,0.41
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick City,External causes of injury and poisoning,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,Neoplasms,2007,No. per 1000 Pop.,2.03
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,Neoplasms,2008,No. per 1000 Pop.,1.82
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,Neoplasms,2009,No. per 1000 Pop.,1.99
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,Neoplasms,2010,No. per 1000 Pop.,1.68
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,Neoplasms,2011,No. per 1000 Pop.,2.04
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,Neoplasms,2012,No. per 1000 Pop.,1.86
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,Neoplasms,2013,No. per 1000 Pop.,1.79
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,Neoplasms,2014,No. per 1000 Pop.,2.07
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,Neoplasms,2015,No. per 1000 Pop.,1.63
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,Neoplasms,2016,No. per 1000 Pop.,2.06
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,Neoplasms,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,Diseases of the circulatory system,2007,No. per 1000 Pop.,2.62
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,Diseases of the circulatory system,2008,No. per 1000 Pop.,2.31
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,Diseases of the circulatory system,2009,No. per 1000 Pop.,2.33
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,Diseases of the circulatory system,2010,No. per 1000 Pop.,2.4
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,Diseases of the circulatory system,2011,No. per 1000 Pop.,2.13
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,Diseases of the circulatory system,2012,No. per 1000 Pop.,2.32
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,Diseases of the circulatory system,2013,No. per 1000 Pop.,2.38
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,Diseases of the circulatory system,2014,No. per 1000 Pop.,2.26
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,Diseases of the circulatory system,2015,No. per 1000 Pop.,2.24
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,Diseases of the circulatory system,2016,No. per 1000 Pop.,2.14
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,Diseases of the circulatory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,Diseases of the respiratory system,2007,No. per 1000 Pop.,0.99
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,Diseases of the respiratory system,2008,No. per 1000 Pop.,1.01
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,Diseases of the respiratory system,2009,No. per 1000 Pop.,0.99
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,Diseases of the respiratory system,2010,No. per 1000 Pop.,0.93
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,Diseases of the respiratory system,2011,No. per 1000 Pop.,0.88
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,Diseases of the respiratory system,2012,No. per 1000 Pop.,0.77
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,Diseases of the respiratory system,2013,No. per 1000 Pop.,0.84
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,Diseases of the respiratory system,2014,No. per 1000 Pop.,0.91
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,Diseases of the respiratory system,2015,No. per 1000 Pop.,0.95
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,Diseases of the respiratory system,2016,No. per 1000 Pop.,0.98
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,Diseases of the respiratory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,External causes of injury and poisoning,2007,No. per 1000 Pop.,0.39
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,External causes of injury and poisoning,2008,No. per 1000 Pop.,0.3
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,External causes of injury and poisoning,2009,No. per 1000 Pop.,0.4
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,External causes of injury and poisoning,2010,No. per 1000 Pop.,0.43
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,External causes of injury and poisoning,2011,No. per 1000 Pop.,0.37
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,External causes of injury and poisoning,2012,No. per 1000 Pop.,0.35
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,External causes of injury and poisoning,2013,No. per 1000 Pop.,0.26
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,External causes of injury and poisoning,2014,No. per 1000 Pop.,0.29
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,External causes of injury and poisoning,2015,No. per 1000 Pop.,0.27
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,External causes of injury and poisoning,2016,No. per 1000 Pop.,0.28
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Limerick County,External causes of injury and poisoning,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,Neoplasms,2007,No. per 1000 Pop.,2.16
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,Neoplasms,2008,No. per 1000 Pop.,2.53
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,Neoplasms,2009,No. per 1000 Pop.,2.1
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,Neoplasms,2010,No. per 1000 Pop.,2.4
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,Neoplasms,2011,No. per 1000 Pop.,2.13
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,Neoplasms,2012,No. per 1000 Pop.,2.03
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,Neoplasms,2013,No. per 1000 Pop.,2.09
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,Neoplasms,2014,No. per 1000 Pop.,2.37
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,Neoplasms,2015,No. per 1000 Pop.,2.05
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,Neoplasms,2016,No. per 1000 Pop.,2.23
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,Neoplasms,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,Diseases of the circulatory system,2007,No. per 1000 Pop.,3.37
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,Diseases of the circulatory system,2008,No. per 1000 Pop.,3.67
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,Diseases of the circulatory system,2009,No. per 1000 Pop.,3.05
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,Diseases of the circulatory system,2010,No. per 1000 Pop.,2.98
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,Diseases of the circulatory system,2011,No. per 1000 Pop.,2.72
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,Diseases of the circulatory system,2012,No. per 1000 Pop.,2.46
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,Diseases of the circulatory system,2013,No. per 1000 Pop.,2.25
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,Diseases of the circulatory system,2014,No. per 1000 Pop.,2.29
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,Diseases of the circulatory system,2015,No. per 1000 Pop.,2.81
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,Diseases of the circulatory system,2016,No. per 1000 Pop.,2.64
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,Diseases of the circulatory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,Diseases of the respiratory system,2007,No. per 1000 Pop.,0.71
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,Diseases of the respiratory system,2008,No. per 1000 Pop.,0.81
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,Diseases of the respiratory system,2009,No. per 1000 Pop.,0.67
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,Diseases of the respiratory system,2010,No. per 1000 Pop.,0.6
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,Diseases of the respiratory system,2011,No. per 1000 Pop.,0.58
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,Diseases of the respiratory system,2012,No. per 1000 Pop.,0.88
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,Diseases of the respiratory system,2013,No. per 1000 Pop.,0.75
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,Diseases of the respiratory system,2014,No. per 1000 Pop.,0.67
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,Diseases of the respiratory system,2015,No. per 1000 Pop.,0.84
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,Diseases of the respiratory system,2016,No. per 1000 Pop.,0.89
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,Diseases of the respiratory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,External causes of injury and poisoning,2007,No. per 1000 Pop.,0.44
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,External causes of injury and poisoning,2008,No. per 1000 Pop.,0.52
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,External causes of injury and poisoning,2009,No. per 1000 Pop.,0.51
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,External causes of injury and poisoning,2010,No. per 1000 Pop.,0.35
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,External causes of injury and poisoning,2011,No. per 1000 Pop.,0.4
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,External causes of injury and poisoning,2012,No. per 1000 Pop.,0.2
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,External causes of injury and poisoning,2013,No. per 1000 Pop.,0.53
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,External causes of injury and poisoning,2014,No. per 1000 Pop.,0.38
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,External causes of injury and poisoning,2015,No. per 1000 Pop.,0.33
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,External causes of injury and poisoning,2016,No. per 1000 Pop.,0.4
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",North Tipperary,External causes of injury and poisoning,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,Neoplasms,2007,No. per 1000 Pop.,1.87
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,Neoplasms,2008,No. per 1000 Pop.,2.26
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,Neoplasms,2009,No. per 1000 Pop.,1.85
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,Neoplasms,2010,No. per 1000 Pop.,1.85
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,Neoplasms,2011,No. per 1000 Pop.,1.78
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,Neoplasms,2012,No. per 1000 Pop.,1.73
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,Neoplasms,2013,No. per 1000 Pop.,2.15
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,Neoplasms,2014,No. per 1000 Pop.,1.97
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,Neoplasms,2015,No. per 1000 Pop.,1.96
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,Neoplasms,2016,No. per 1000 Pop.,2.15
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,Neoplasms,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,Diseases of the circulatory system,2007,No. per 1000 Pop.,2.14
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,Diseases of the circulatory system,2008,No. per 1000 Pop.,2.44
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,Diseases of the circulatory system,2009,No. per 1000 Pop.,1.97
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,Diseases of the circulatory system,2010,No. per 1000 Pop.,2.38
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,Diseases of the circulatory system,2011,No. per 1000 Pop.,2.03
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,Diseases of the circulatory system,2012,No. per 1000 Pop.,2.16
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,Diseases of the circulatory system,2013,No. per 1000 Pop.,2.32
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,Diseases of the circulatory system,2014,No. per 1000 Pop.,1.82
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,Diseases of the circulatory system,2015,No. per 1000 Pop.,1.95
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,Diseases of the circulatory system,2016,No. per 1000 Pop.,2.19
